Common Name,Scientific Name,Medicinal Properties,Known Hazards,Summary,user_need_tags,effect_tags,preparation_type,warning_level,recommendation_reason
"Musk Mallow,Musk Okra",Abelmoschus moschatus - Medik.,Antihalitosis; Antispasmodic; Aphrodisiac; Appetizer; Aromatherapy; Digestive; Nervine; Stomachic; Vulnerary,None known,,"anxiety,digestion,relaxation,skin,sleep,stress","antihalitosis, antispasmodic, aphrodisiac, appetizer, aromatherapy, digestive, nervine, stomachic, vulnerary", ,low, 
"Grand Fir, Giant Fir, Lowland White Fir",Abies grandis - (Douglas. ex D.Don.)Lindl.,Antirheumatic; Laxative; Ophthalmic; Skin; Stomachic; TB; Tonic,None known,"Form: Columnar, Upright or erect.","digestion,energy,focus,pain","antirheumatic, laxative, ophthalmic, skin, stomachic, tb, tonic", ,low, 
Himalayan Fir,Abies spectabilis - (D.Don.)Spach.,Antiperiodic; Astringent; Carminative; Expectorant; Stomachic; Tonic,None known,,"digestion,energy,focus,respiratory_support","antiperiodic, astringent, carminative, expectorant, stomachic, tonic", ,low, 
"China Jute, Velvetleaf, Butterprint Buttonweed Jute, China Mallow, Indian Velvet Leaf",Abutilon theophrasti - Medik.,Astringent; Demulcent; Diuretic; Dysentery; Emollient; Laxative; Ophthalmic; Poultice; Stomachic; Urinary,None known,Form: Upright or erect.,"digestion,edema,skin","astringent, demulcent, diuretic, dysentery, emollient, laxative, ophthalmic, poultice, stomachic, urinary", ,low, 
"Sweet Acacia, Perfume Acacia, Huisache",Acacia farnesiana - (L.)Willd.,Astringent; Demulcent; Dysentery; Poultice; Stomachic,"The seeds, containing an unnamed alkaloid, are used to kill rabid dogs in Brazil[269].","Bloom Color: Yellow. Main Bloom Time: Early summer, Early fall, Early spring, Early winter, Late summer, Late fall, Late spring, Late winter, Mid summer, Mid fall, Mid spring, Mid winter. Form: Rounded, Spreading or horizontal, Vase.","digestion,skin","astringent, demulcent, dysentery, poultice, stomachic", ,medium, 
Musk Milfoil,Achillea erba-rotta moschata - (Wulfen.)I.Richardson.,Appetizer; Diaphoretic; Digestive; Diuretic; Stomachic; Tonic,None known,,"circulation,digestion,edema,energy,focus","appetizer, diaphoretic, digestive, diuretic, stomachic, tonic", ,low, 
Siberian Yarrow,Achillea sibirica - Ledeb.,Antibacterial; Antiinflammatory; Carminative; Diaphoretic; Emmenagogue; Odontalgic; Stomachic; Tonic,None known,,"circulation,digestion,energy,focus,immune_support,inflammatory,pain","antibacterial, antiinflammatory, carminative, diaphoretic, emmenagogue, odontalgic, stomachic, tonic", ,low, 
Basil Thyme,Acinos arvensis - (Lam.)Dandy.,Diuretic; Odontalgic; Rubefacient; Stomachic,None known,,"digestion,edema,pain,skin","diuretic, odontalgic, rubefacient, stomachic", ,low, 
Sweet Flag - Calamus,Acorus calamus - L.,Abortifacient; Anodyne; Antirheumatic; Aphrodisiac; Aromatic; Carminative; Diaphoretic; Emmenagogue; Epilepsy; Febrifuge; Hallucinogenic; Homeopathy; Odontalgic; Sedative; Stimulant; Stomachic; Tonic; Vermifuge,"The fresh root can be poisonous[7]. When using the plant medicinally, the isolated essential oil should not be used[165]. The essential oil in the roots of some populations of this plant contains the compound asarone. This has tranquillising and antibiotic activity, but is also potentially toxic and carcinogenic[218, 238]. It seems that these compounds are found in the triploid form of the species (found in Asia) whilst the diploid form (found in N. America and Siberia) is free of the compounds[218, 238]. However, the root (but not the isolated essential oil) has been used in India for thousands of years without reports of cancer which suggests that using the whole herb is completely safe, though more research is needed[254]. Only roots free from or with a low content of beta asarone should be used in human herb therapy. Should be avoided in patients taking monoamine oxidase inhibitor antidepressants as possible side-effects [301].","The rhizome of Sweet Flag is candied and made into a sweetmeat. When peeled and washed to remove its bitterness, the rhizomes are eaten raw, offering a fruity taste. When roasted, it makes a palatable vegetable. The dried and powdered rhizome has a spicy flavour similar to ginger, cinnamon, or nutmeg and is used as a substitute for these spices. The young inflorescence is sweet, while the young leaves are cooked and used to flavour custards, like vanilla pods. The inner portion of young stems is eaten raw and added to salads. Sweet Flag has a long history in traditional herbal medicine, particularly in Ayurveda. It is used for its rejuvenating effects on the brain and nervous system and for treating digestive disorders. It is also used as an aromatic stimulant and mild tonic. Sweet Flag likes shallow water or moist, loamy soil in a sunny position. It is a hardy plant that tolerates temperatures as low as -25°C and grows well in a pH range of 5.5 to 7.5. Its leaves have traditionally been used in basket making, woven into mats, or roof thatching. Sweet Flag is native to Kazakhstan and introduced to Europe, Asia, and North America. Bloom Color: Green. Main Bloom Time: Mid summer. Form: Spreading or horizontal, Upright or erect.","anxiety,circulation,digestion,energy,focus,pain,relaxation,sleep,stress","abortifacient, anodyne, antirheumatic, aphrodisiac, aromatic, carminative, diaphoretic, emmenagogue, epilepsy, febrifuge, hallucinogenic, homeopathy, odontalgic, sedative, stimulant, stomachic, tonic, vermifuge", ,high, 
"Grass-leaved Sweet Rush, Japanese Sweet Flag, Dwarf Sweet Flag",Acorus gramineus - Sol. ex Aiton.,Anodyne; Antibacterial; Antifungal; Antiperiodic; Antirheumatic; Antispasmodic; Aromatic; Cardiac; Carminative; Diaphoretic; Diuretic; Emmenagogue; Epilepsy; Expectorant; Febrifuge; Parasiticide; Sedative; Stimulant; Stomachic; Tonic; Vermifuge,"Although no records of toxicity have been seen, this species belongs to a family where most of the species are poisonous, at least in the fresh state. The following notes are from the related A. calamus - the fresh root can be poisonous[7]. When using the plant medicinally, the isolated essential oil should not be used[165].","Bloom Color: Green. Main Bloom Time: Early summer, Late summer, Mid summer. Form: Rounded.","anxiety,circulation,digestion,edema,energy,focus,heart_support,immune_support,pain,relaxation,respiratory_support,sleep,stress","anodyne, antibacterial, antifungal, antiperiodic, antirheumatic, antispasmodic, aromatic, cardiac, carminative, diaphoretic, diuretic, emmenagogue, epilepsy, expectorant, febrifuge, parasiticide, sedative, stimulant, stomachic, tonic, vermifuge", ,high, 
